Table,Key,Id,Russian (ru)
Credits,credits_3d,616901369859,"3D-модели, анимация, шейдеры, UI, пиксель-арт "
Credits,credits_art,616897175553,Арт и анимация
Credits,credits_artShopSculptures,616901369860,Скульптуры Art Shop
Credits,credits_assets,6221493952512,Материалы
Credits,credits_audioDesign,616901369864,"Звуковой дизайн, композитор, фоли"
Credits,credits_contributors,616897175554,Участники 
Credits,credits_design,616901369861,Дизайн
Credits,credits_desktopExplorer,616859426816,-Desktop Explorer-
Credits,credits_externalAssets,616901369877,Сторонние материалы
Credits,credits_illustration,616901369858,"Иллюстрации, пиксель-арт"
Credits,credits_localizationChinese,616901369870,"Локализация — китайский (упрощённый, традиционный)"
Credits,credits_localizationSpanish,616901369868,Локализация — испанский (Латинская Америка)
Credits,credits_marketing,616901369867,Маркетинг/PR (Recurring Dream)
Credits,credits_playTesters,616901369874,Плейтестеры
Credits,credits_popAgenda,616901369869,popagenda (маркетинговая поддержка)
Credits,credits_pressAnyButton,1149343096832,"Нажмите любую кнопку, чтобы продолжить"
Credits,credits_productionBabies,616901369872,Дети создателей
Credits,credits_productionPets,616901369873,Питомцы создателей
Credits,credits_programming,616901369862,Кодинг
Credits,credits_publishedByOutersloth,616901369856,Издатель — Outersloth
Credits,credits_qaTesters,616901369871,Тестировщики
Credits,credits_recurringDream,616897175552,Разработано студией Recurring Dream
Credits,credits_sound,616901369863,Звук
Credits,credits_specialCommunityMembers,616901369876,Особые участники сообщества
Credits,credits_specialThanks,616901369875,Благодарности
Credits,credits_speedUp,1149217267712,ЛКМ — Перемотка вперёд
Credits,credits_sweatersVocals,616901369865,Вокал The Sweaters.
Credits,credits_text,6221489758208,Текст
Credits,credits_thanksForPlaying,616901369878,Спасибо за игру!
Credits,credits_writing,616901369866,Сценарий
OS_Alerts,,201456084747018240,Уже установлено
OS_Alerts,,201456084751212544,Desktop Explorer уже установлен. Его папку можно найти на рабочем столе.
OS_Alerts,,201456084751212545,Изменения не сохранены
OS_Alerts,,201456084751212546,"В этом файле есть несохранённые изменения. Вы уверены, что хотите закрыть его? Все изменения будут потеряны."
OS_Alerts,,96708851011674112,Доступна новая запись Chronolog для заполнения
OS_Alerts,,96731321487843328,Доступна новая запись Chronolog для заполнения
OS_Alerts,,99083741647855616,Создан файл с путём: {0}
OS_Alerts,,99084306729656320,Создан файл с путём: {0}
OS_Alerts,,99085380140130304,Создан файл с путём: {0}
OS_Alerts,,99374234868899840,Создан файл с путём: {0}
OS_Alerts,AddRommieAlertDescription,88815206677864448,Добавить код друга Roomie
OS_Alerts,AddRommieAlertTitle,88814986040696832,NextRooms
OS_Alerts,CannotChangeScreenSaverDueToMazePuzzleBody,222490104813314048,"Изменение настроек заставки заблокировано текущим процессом: DesktopExplorerPuzzle. Завершите головоломку-пролог, чтобы вернуть контроль над этим меню."
OS_Alerts,CannotChangeScreenSaverDueToMazePuzzleTitle,222490104804925440,Внимание! — Заблокировано приложением DesktopExplorer
OS_Alerts,ChronologDataCorruptionBody,3806912553410561,Не удаётся изменить реестр записей (Ошибка Chronolog: В реестре присутствует как минимум одна повреждённая запись. (Исключение CHR0N0:0xUMZAUSA))
OS_Alerts,ChronologDataCorruptionDescription,3658443700297730,Не удаётся изменить реестр записей (Ошибка Chronolog: В реестре присутствует как минимум одна повреждённая запись. (Исключение CHR0N0:0xUMZAUSA))
OS_Alerts,ChronologEntryCorruptedBody,130855088505741312,Не удаётся открыть файл (Ошибка Chronolog: Файл записи повреждён. Восстановление невозможно. (Исключение CHR0N0: 0xNFMRUHBXARGWC))
OS_Alerts,ChronologRegistryExceptionTitle,3658443700297728,ChronologRegistryException
OS_Alerts,ChronologUserExceptionBody,3806912553410562,Не удаётся изменить реестр записей (Ошибка Chronolog: Не удалось подтвердить намерение текущего пользователя. (Исключение CHR0N0: 0xUYSNURLAE))
OS_Alerts,ChronologUserExceptionDescription,3658443700297731,Не удаётся изменить реестр записей (Ошибка Chronolog: Не удалось подтвердить намерение текущего пользователя. (Исключение CHR0N0: 0xUYSNURLAE))
OS_Alerts,CrashSequence_Hal_1,74384543191130112,ВЫЙТИ СЕЙЧАС
OS_Alerts,CrashSequence_Hal_2,74384556583542784,ТЕБЕ ЗДЕСЬ НЕ МЕСТО
OS_Alerts,CrashSequence_Hal_3,74384563265069056,ТЫ НИКОГДА НЕ ЗАБУДЕШЬ
OS_Alerts,CrashSequence_Hal_4,74384569262923776,ХОЧЕШЬ ЛИ ТЫ ЗАБЫТЬ?
OS_Alerts,CrashSequence_Hal_5,74385332039049216,ЧУВСТВО ВИНЫ ВРЕДИТ ПАМЯТИ
OS_Alerts,DemoLogoutBody,3806912557604877,Не удаётся выполнить запрос пользователя (Ошибка ОС: Открытый исполняемый файл препятствует операции. (Исключение ОС: 0x0N1C3TRY))
OS_Alerts,DemoLogoutTitle,3806912557604876,ОШиБкА
OS_Alerts,DemoSelectUserBody,3806912557604879,Не удаётся получить доступ к пользователю. Ошибка: Несовместимая версия ОС. (OutsideDemoScopeException: 0x70617469656E6365)
OS_Alerts,DemoSelectUserTitle,41017239426392064,ОШИБКА
OS_Alerts,DuplicateExecutableAlertBody,3806912557604881,Дублирование исполняемых файлов не поддерживается.
OS_Alerts,DuplicateFolderAlertBody,3806912557604870,Дублирование папок не поддерживается.
OS_Alerts,EditFileNoPermissionTitle,2963571481763840,Недопустимая операция
OS_Alerts,FadingAlertBody,208510760352997376,"В системе закончилась память. Когда-то её занимало чужое присутствие. Чтобы продолжить, попрощайтесь с ним."
OS_Alerts,FileConversionInvalidBody,3806912536633344,"NextOS не может преобразовать файл в указанное расширение, содержимое файла может стать нечитаемым."
OS_Alerts,FileConversionInvalidDescription,3658443675131904,"NextOS не может преобразовать файл в указанное расширение, содержимое файла может стать нечитаемым."
OS_Alerts,FileCorruptedAlertBody,3806912557604883,"Не удалось открыть файл, содержимое может быть повреждено."
OS_Alerts,FileFlattenerExceptionTitle,3658443700297729,FileFlattenerException
OS_Alerts,FileFlattenerNoAccessBody,3806912557604864,Сжатие отменено: У текущего пользователя нет прав на изменение {0} файл(ов) в текущем выборе.
